#{"t_start": 1655252739.545968, "env_id": "CartPole-v1"}
r,l,t
203.0,203,18.346888
163.0,163,18.383132
157.0,157,18.414304
162.0,162,18.449105
160.0,160,18.481855
160.0,160,18.515038
144.0,144,18.55276
23.0,23,18.558902
118.0,118,18.58776
154.0,154,18.62634
159.0,159,18.675973
156.0,156,18.710394
164.0,164,18.747504
162.0,162,18.782713
161.0,161,18.817655
169.0,169,18.863946
141.0,141,18.89894
153.0,153,18.983121
163.0,163,19.017796
155.0,155,19.051308
167.0,167,19.087689
159.0,159,19.121352
27.0,27,19.129704
13.0,13,19.132856
129.0,129,19.16568
13.0,13,19.168687
18.0,18,19.172796
142.0,142,19.208296
148.0,148,19.278394
155.0,155,19.309642
157.0,157,19.341897
159.0,159,19.373827
162.0,162,19.405929
21.0,21,19.412933
122.0,122,19.448361
187.0,187,19.492441
134.0,134,20.092559
183.0,183,20.136674
186.0,186,20.176547
187.0,187,20.215921
181.0,181,20.254433
183.0,183,20.293135
156.0,156,20.334299
191.0,191,20.38062
179.0,179,20.456085
186.0,186,20.495259
189.0,189,20.535711
194.0,194,20.575191
191.0,191,20.613953
207.0,207,20.667427
138.0,138,20.701747
179.0,179,20.773289
178.0,178,20.807237
199.0,199,20.847067
189.0,189,20.885594
190.0,190,20.923728
184.0,184,20.972809
174.0,174,21.012595
195.0,195,21.086045
179.0,179,21.122174
181.0,181,21.159424
176.0,176,21.195888
199.0,199,21.237533
218.0,218,21.293612
192.0,192,21.33855
274.0,274,21.986117
275.0,275,22.041599
279.0,279,22.097922
274.0,274,22.153021
291.0,291,22.21414
212.0,212,22.267798
221.0,221,22.319683
270.0,270,22.389324
271.0,271,22.443507
278.0,278,22.503201
259.0,259,22.555893
274.0,274,22.611774
313.0,313,22.693483
259.0,259,22.793548
302.0,302,22.856576
262.0,262,22.913149
268.0,268,22.970018
280.0,280,23.029006
270.0,270,23.096751
202.0,202,23.145421
265.0,265,23.209012
262.0,262,23.267234
276.0,276,23.326495
278.0,278,23.381928
283.0,283,23.439131
107.0,107,23.466356
173.0,173,23.507102
269.0,269,23.612308
277.0,277,23.667589
292.0,292,23.727991
281.0,281,23.782682
288.0,288,23.840492
219.0,219,24.541463
500.0,500,24.721293
500.0,500,24.829308
500.0,500,24.936094
500.0,500,25.037624
500.0,500,25.135562
401.0,401,25.23439
500.0,500,25.358616
500.0,500,25.458238
500.0,500,25.55551
500.0,500,25.652882
500.0,500,25.750355
500.0,500,25.865088
500.0,500,25.962487
500.0,500,26.059291
500.0,500,26.15459
500.0,500,26.253331
500.0,500,26.348725
500.0,500,26.46499
500.0,500,26.56223
500.0,500,26.664378
500.0,500,26.764434
500.0,500,26.859936
500.0,500,26.958264
500.0,500,27.702911
500.0,500,27.806751
500.0,500,27.906588
500.0,500,28.011201
500.0,500,28.11147
500.0,500,28.212119
500.0,500,28.334577
500.0,500,28.438667
500.0,500,28.543186
500.0,500,28.648984
500.0,500,28.752022
500.0,500,28.853435
500.0,500,28.973164
500.0,500,29.073121
500.0,500,29.17644
500.0,500,29.282679
500.0,500,29.392319
500.0,500,29.492818
500.0,500,29.620766
500.0,500,29.72193
500.0,500,29.825386
500.0,500,29.927154
500.0,500,30.030057
500.0,500,30.147231
500.0,500,30.853809
500.0,500,30.95599
500.0,500,31.054768
500.0,500,31.15223
500.0,500,31.253795
500.0,500,31.352721
500.0,500,31.475692
500.0,500,31.578491
500.0,500,31.678616
500.0,500,31.777316
500.0,500,31.875378
500.0,500,31.97143
500.0,500,32.087149
500.0,500,32.190938
500.0,500,32.291599
500.0,500,32.389946
500.0,500,32.48915
500.0,500,32.585615
500.0,500,32.708645
500.0,500,32.811481
500.0,500,32.911495
500.0,500,33.011673
500.0,500,33.109269
500.0,500,33.211208
500.0,500,33.948507
500.0,500,34.049699
500.0,500,34.150561
500.0,500,34.253727
500.0,500,34.351031
500.0,500,34.451785
500.0,500,34.574063
500.0,500,34.674968
500.0,500,34.778566
500.0,500,34.879024
500.0,500,34.977803
500.0,500,35.078151
500.0,500,35.197435
500.0,500,35.304586
500.0,500,35.406272
500.0,500,35.50717
500.0,500,35.6076
500.0,500,35.711124
500.0,500,35.830472
500.0,500,35.931689
500.0,500,36.041759
500.0,500,36.148029
500.0,500,36.251247
500.0,500,36.352471
500.0,500,37.049801
500.0,500,37.150675
500.0,500,37.255611
500.0,500,37.3575
500.0,500,37.459851
500.0,500,37.563305
500.0,500,37.682329
500.0,500,37.77936
500.0,500,37.881222
500.0,500,37.981843
500.0,500,38.083337
500.0,500,38.182178
500.0,500,38.301672
500.0,500,38.403065
500.0,500,38.503411
500.0,500,38.600497
500.0,500,38.701532
500.0,500,38.805193
500.0,500,38.92541
500.0,500,39.022726
500.0,500,39.129944
500.0,500,39.234031
500.0,500,39.33544
500.0,500,39.43447
500.0,500,40.174645
500.0,500,40.280299
500.0,500,40.378683
500.0,500,40.479603
500.0,500,40.57702
500.0,500,40.67706
500.0,500,40.799708
500.0,500,40.903131
