#{"t_start": 1652784617.659956, "env_id": null}
r,l,t
97.0,97,3451.99133
42.0,42,3453.314585
30.0,30,3454.390437
23.0,23,3455.255411
14.0,14,3455.92112
53.0,53,3457.488192
61.0,61,3459.233722
47.0,47,3460.812266
31.0,31,3461.932349
27.0,27,3462.954078
36.0,36,3464.246956
65.0,65,3466.176614
65.0,65,3468.168545
75.0,75,3470.582103
81.0,81,3472.865119
82.0,82,3475.110774
87.0,87,3477.409456
90.0,90,3479.79701
31.0,31,3480.875511
35.0,35,3482.017045
40.0,40,3483.345102
42.0,42,3484.674016
54.0,54,3486.327169
61.0,61,3488.188295
42.0,42,3489.612701
51.0,51,3491.179614
67.0,67,3493.163226
52.0,52,3494.643512
73.0,73,3497.560306
74.0,74,3499.511184
77.0,77,3501.590512
72.0,72,3503.60147
78.0,78,3505.709178
27.0,27,3506.708794
26.0,26,3507.5842
44.0,44,3508.941125
46.0,46,3510.460516
39.0,39,3511.698097
22.0,22,3512.614106
41.0,41,3513.896273
25.0,25,3514.817451
58.0,58,3516.545858
53.0,53,3518.197084
71.0,71,3520.370001
48.0,48,3522.035137
6134.0,6134,5050.182961
65.0,65,5051.994259
72.0,72,5054.102575
105.0,105,5057.024658
47.0,47,5058.457552
44.0,44,5059.861562
61.0,61,5061.807649
51.0,51,5063.376087
41.0,41,5064.695508
49.0,49,5066.133293
27.0,27,5067.074924
38.0,38,5068.436862
34.0,34,5069.670565
66.0,66,5071.707576
28.0,28,5072.688492
32.0,32,5073.795335
38.0,38,5075.895708
83.0,83,5078.156747
34.0,34,5079.199542
44.0,44,5080.475814
60.0,60,5082.199884
35.0,35,5083.429362
51.0,51,5085.084223
46.0,46,5086.572913
53.0,53,5088.207839
30.0,30,5089.21578
30.0,30,5090.321832
46.0,46,5091.832646
29.0,29,5092.847831
28.0,28,5093.782005
63.0,63,5095.661494
82.0,82,5097.963869
48.0,48,5099.712676
42.0,42,5100.913409
76.0,76,5102.876836
38.0,38,5104.086811
66.0,66,5105.802693
55.0,55,5107.397816
31.0,31,5108.4673
73.0,73,5110.531692
61.0,61,5112.25844
28.0,28,5113.196677
27.0,27,5114.089404
25.0,25,5114.968
29.0,29,5115.990189
27.0,27,5116.928925
31.0,31,5118.069676
34.0,34,5119.156324
72.0,72,5121.322181
69.0,69,5123.694353
40.0,40,5124.888471
69.0,69,5126.730325
41.0,41,5127.931287
46.0,46,5129.253161
28.0,28,5130.240454
18.0,18,5130.967555
24.0,24,5131.79136
22.0,22,5132.524298
53.0,53,5134.084658
55.0,55,5135.736538
46.0,46,5137.079257
27.0,27,5138.023469
27.0,27,5138.933471
25.0,25,5139.748739
36.0,36,5140.916629
65.0,65,5142.733898
34.0,34,5143.956257
38.0,38,5145.124777
70.0,70,5147.226713
50.0,50,5148.69281
36.0,36,5149.862288
68.0,68,5151.700423
54.0,54,5153.183164
21.0,21,5153.95719
28.0,28,5154.868869
53.0,53,5156.443651
50.0,50,5157.89993
24.0,24,5158.871988
33.0,33,5159.999746
24.0,24,5160.841783
29.0,29,5161.787346
55.0,55,5163.337616
41.0,41,5164.594183
31.0,31,5165.584448
27.0,27,5166.61014
30.0,30,5167.574469
22.0,22,5168.348035
23.0,23,5169.299263
45.0,45,5171.127256
64.0,64,5172.78488
62.0,62,5174.449646
61.0,61,5176.054162
25.0,25,5176.901091
36.0,36,5178.069743
21.0,21,5178.842577
73.0,73,5180.888853
27.0,27,5181.751916
36.0,36,5183.051525
27.0,27,5183.930369
45.0,45,5185.324726
28.0,28,5186.292444
26.0,26,5187.215786
38.0,38,5188.425962
82.0,82,5190.858244
29.0,29,5191.819969
27.0,27,5192.859668
68.0,68,5195.095728
64.0,64,5196.743423
59.0,59,5198.325612
59.0,59,5200.034834
43.0,43,5201.2542
37.0,37,5202.462683
35.0,35,5203.598778
22.0,22,5204.367836
28.0,28,5205.312182
31.0,31,5206.278574
28.0,28,5207.23824
29.0,29,5208.158213
22.0,22,5208.978009
47.0,47,5210.421202
56.0,56,5212.023896
43.0,43,5213.275187
30.0,30,5214.267351
70.0,70,5216.39505
61.0,61,5218.861644
65.0,65,5220.583875
76.0,76,5222.503362
64.0,64,5224.246046
70.0,70,5226.049947
56.0,56,5227.67233
52.0,52,5229.227237
79.0,79,5231.590225
57.0,57,5233.23763
54.0,54,5234.858971
28.0,28,5235.758455
75.0,75,5237.83556
81.0,81,5240.080065
73.0,73,5242.682492
94.0,94,5245.061689
76.0,76,5247.196279
84.0,84,5249.361054
88.0,88,5251.608348
42.0,42,5252.882542
92.0,92,5255.428012
89.0,89,5257.902568
43.0,43,5259.242845
57.0,57,5260.886349
58.0,58,5262.602314
54.0,54,5264.138873
44.0,44,5265.571428
59.0,59,5268.03348
102.0,102,5270.76433
64.0,64,5272.5925
79.0,79,5274.679111
73.0,73,5276.642658
42.0,42,5277.922776
34.0,34,5279.046052
60.0,60,5280.918958
68.0,68,5282.879572
40.0,40,5284.099985
34.0,34,5285.214133
63.0,63,5287.000168
55.0,55,5288.695589
43.0,43,5289.978895
61.0,61,5293.35143
69.0,69,5295.167426
116.0,116,5298.140585
61.0,61,5299.772975
60.0,60,5301.376359
33.0,33,5302.458118
74.0,74,5304.585988
54.0,54,5306.124537
22.0,22,5307.04029
35.0,35,5308.129963
45.0,45,5309.507133
